Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Plan,LE01,Official Copy (Title Register) LT48698,HM Land Registry,,2024,\#mar\#,,"Scudamore Road, Leicester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Scudamore Road, Leicester/Official Copy (Title Register) LT48698.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) MS433324,HM Land Registry,,2024,\#apr\#,,Southport Business Park,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Southport Business Park/Official Copy - Title Plan - MS433324.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT160997,HM Land Registry,,2024,\#mar\#,,Thurmaston Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Thurmaston Industrial Estate/Official Copy (Title Plan) LT160997.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT150633,HM Land Registry,,2024,\#mar\#,,Abbey Sidings,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Abbey Sidings/Official Copy (Title Plan) LT150633.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT138299,HM Land Registry,,2024,\#mar\#,,Thurmaston Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Thurmaston Industrial Estate/Official Copy (Title Plan) LT138299.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT449732,HM Land Registry,,2024,\#mar\#,,Thurmaston Shopping Centre,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Thurmaston Shopping Centre/Official Copy (Title Plan) LT449732.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT80727,HM Land Registry,,2024,\#mar\#,,"Trent Lane, Castle Donnington",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Trent Lane, Castle Donnington/Official Copy (Title Plan) LT80727.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT229278,HM Land Registry,,2024,\#apr\#,,Troon Way,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Troon Lane Estate/Official Copy (Title Plan) - LT229278.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT29705,HM Land Registry,,2024,\#apr\#,,Troon Way,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Troon Lane Estate/Official Copy (Title Plan) - LT29705.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT119621,HM Land Registry,,2024,\#apr\#,,Troon Way,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Troon Lane Estate/Official Copy (Title Plan) - LT119621.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT126269,HM Land Registry,,2024,\#apr\#,,Troon Way,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Troon Lane Estate/Official Copy (Title Plan) - LT126269.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT203999,HM Land Registry,,2024,\#apr\#,,Troon Way,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Troon Lane Estate/Official Copy (Title Plan) - LT203999.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT94332,HM Land Registry,,2024,\#mar\#,,Wanlip Rd,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Wanlip Rd/Official Copy (Title Plan) LT94332.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT261834,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT261834.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT57698,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT57698.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT59703,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT59703.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT59704,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT59704.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT261728,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT261728.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT261729,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT261729.pdf:PDF
