Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Plan,LE01,Official Copy (Title Plan) CU124803,HM Land Registry,,2024,\#may\#,,Blencathra House,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Blencathra House/Official Copy (Title Plan) - CU124803.pdf:PDF
Plan,LE01,Official Copy (Title Plan) CU193573,HM Land Registry,,2024,\#apr\#,,Blencathra House,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Blencathra House/Official Copy (Title Plan) - CU193573.pdf:PDF
Riskregister,CE11,Legionella Risk Assessment,Tetra Consulting Limited,,2023,\#aug\#,,Clarence House,Environment,Operation,Environmental,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/LRA-L-373033-080823 4 Matthew Parker Street.pdf:PDF
TechReport,ESG08,Victoria Park Flood Risk Assessment Report,SLR Consulting Limited,,2020,,,Netherfield Nottingham,Environment,Design,Environmental,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Victoria Park Flood Risk Assessment.pdf:PDF
Po,CE05,Passenger Lift,Schindler Ltd,,2023,December,,Netherfield Nottingham,General,Construction,Operational,Best Practice,Y,No exact title,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D5_eTimesheet 1485413 1100-0000005012460-01.pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Beveridge Lane,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Uxbridgeroad Estate,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Flatten Way,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,The Woodlands,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Matthew Parker Street,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Jermyn Street and Savoy Baths,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,Curzon Street,General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Brochure,NA,Tenancy Schedule of Assets,NA,,NA,,,"OxAM House,Oxford",General,General,Other,Other,N,8 Assets in one file,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Project Tiger - Information Memorandum (Extra 8 x assets).pdf:PDF
Certificate,NA,Final Certificate of Division of 3rd Floor of 2 Offices,Butler \& Young Approved Inspectors Limited,,2018,\#aug\#,NA,4 Matthew Parker Street,Civil,General,Optional,Optional,N,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Building Certificate  124388 Final Certifcate.pdf:PDF
Contract,LE03,Appointment Contract of Mechanical and Electrical Services Engineer,Aviva Life \& Pensions UK Limited,,2016,\#feb\#,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Watkins Payne Appointment (M&E) - 25.02.2016.pdf:PDF
Plan,LE01,Official Copy Plan SGL563726,HM Land Registry,,2024,\#apr\#,,Biggin Hill,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Biggin Hill/Official Copy (Plan) - SGL563726.pdf:PDF
Survey,ESG11,Project Specific Refurbishment Asbestos Survey,RPS Consultants,,2015,\#nov\#,,Clarence House,Environment,Operation,Environmental,Legal,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/4 Matthew Parker Street Asbestos Survey offices Novemeber 2015.pdf:PDF
Po,OM05,Findel Minor Pump Service,Pure Power Ltd,,2024,January,,Netherfield Nottingham,Mechanical,Operation,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D13_Findel minor pump service 29-01-24.pdf:PDF
TechReport,OM08,Access Audit Checklist,NA,,2024,,,Netherfield Nottingham,Civil,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C5_Access Audit Checklist.pdf:PDF
Contract,CO02,PCC Mutual NDA UK Template,SPS Technologies Ltd,,2024,\#apr\#,,NA,Legal,General,Construction Contract Warranty,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/PCC Mutual NDA UK template Nov 2019 V1.1 Arcadis.pdf:PDF
Misc,NA,PPM Schedule,NA,,NA,,,Netherfield Nottingham,General,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C2_PPM Schedule.xlsx:Excel 2007+
Misc,NA,Client Supplied RFI Response,NA,,NA,,,Netherfield Nottingham,General,General,Other,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Client supplied RFI response.png:PNG image
Plan,LE01,Title Plan - LT151308,HM Land Registry,,NA,NA,,Hilltop Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Hilltop IE/Title Plan - LT151308.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Beveridge Lane,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title  - Beveridge Lane - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Clarence House,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title  - Clarence House_ Matthew Parker Street_ London - 31.05.2024.pdf:PDF
TechReport,CE06,Gas Safe Certificate,Regin,,2024,,,Netherfield Nottingham,Mechanical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D6_Gas Safe Certificate.pdf:PDF
Plan,LE01,Official Copy (Title Plan) NT334110,HM Land Registry,,2024,\#jan\#,,Netherfield Nottingham,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Netherfield/Official copy title plan NT334110(693161317.1).pdf:PDF
Plan,LE01,Title Plan - LT101504,HM Land Registry,,2024,\#apr\#,,New Star Road State,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/New Star/Title Plan LT101504.pdf:PDF
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Thurmaston Industrial Estate,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Abbey Sidings,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Thurmaston Shopping Centre,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Biggin Hill,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Mill Lane Industrial Estate,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Netherfield Nottingham,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,New Star Road State,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Troon Way,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Wanlip Rd,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Hilltop Industrial Estate,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
Lease,LE03,Tenancy Schedule,NA,,2024,NA,,Humberstone,Legal,General,Legal,Legal,Y,,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Tenancy Schedule - of properties to be visited (002).xlsx:Excel 2007+
TechReport,CE05,Lift Report of Clarence House,Allianz,,2024,\#mar\#,,Clarence House,General,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/4 Matthew Parker St - 15.3.24 - LOLER (2).pdf:PDF
TechReport,CE03,Fire Alarm Service of Clarence House,RELTECH SOLUTIONS,,2024,\#jan\#,,Clarence House,FDAS,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/11.1.24 - 4 MPS - Fire Alarm Service.pdf:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/16.1.24 - 4 MPS - Microbiology Cert of Analysis TVC.PDF:PDF
Riskregister,OM02,"Health,Safety \& Fire Risk Assessment",Tetra Consulting Limited,,2024,\#dec\#,,Clarence House,FDAS,Operation,Operational,Legal,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Hsfra1-L-395297-191223 4 Matthew Parker Street.pdf:PDF
Certificate,CE10,FGas Certification,Grange Technical Services (Nottingham) Limited,,2023,,4-Jul-26,Netherfield Nottingham,Mechanical,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D10_FGas Records.pdf:PDF
TechReport,CE11,Legionella,Sterilizing Service Ltd,,2023,,,Netherfield Nottingham,HSE,Operation,Operational,Best Practice,Y,,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D11_Findel Education, Leg, 05.07.23.pdf:PDF"
Certificate,CE13,Clearance Certificate,Fireproof Fire Engineering Ltd,,2023,\#may\#,,Netherfield Nottingham,FDAS,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D13_Findel Annual sprinkler system maintenance 24-05-23.pdf:PDF
Certificate,OM05,Findel Major Pump Service,Fireproof Fire Engineering Ltd,,2023,\#may\#,,Netherfield Nottingham,Mechanical,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D13_Findel Major pump service 31-05-23.pdf:PDF
Brochure,NA,Marketing Advertisement(Clarence House),Prime London Portfolio,,2023,,,Clarence House,General,General,Other,Other,N,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Project Tiger - Information Memorandum (PL).pdf:PDF
TechReport,CE19,Pressure Test of Clarence House,Allianz,,2023,\#nov\#,,Clarence House,Mechanical,Maintenance,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/4 MPS - Pressure test.pdf:PDF
TechReport,EN02,Gas Safety Report,Edmund Services Limited,,2023,\#aug\#,,Clarence House,Energy,Operation,Environmental,Optional,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/24.8.24 - 4 MPS - Gas Safe Certificate.jpg:JPG image
Certificate,CE04,Certificate of Periodic Inspection of Emergency Lighting,Edmund Services Limited,,2023,\#aug\#,NA,Clarence House,Electrical,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Emergency Lighting Certificate 4MPS 2023.pdf:PDF
TechReport,CE04,Lightning Protection Test and Inspection,Premier Technical Services Group,,2023,\#sep\#,,Clarence House,Electrical,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/PTSG LIGHTNING PROTECTION REPORT pdf-Periodicals - 10667-2 (658641).pdf:PDF
Brochure,NA,Marketing Advertisement(Curzon Street),Prime London Portfolio,,2023,,,Curzon Street,General,General,Other,Other,N,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Project Tiger - Information Memorandum (PL).pdf:PDF
Contract,LE03,4 Matthew Parker Street Building Contract,Aviva Life \& Pensions UK Limited,,2019,\#mar\#,"Aug 3,2018",4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Building Contract - 08.03.2019.pdf:PDF
Contract,LE03,Appointment Contract of Lead Consultant,Aviva Life \& Pensions UK Limited,,2019,\#mar\#,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/CBRE Appointment of Lead Consultant - 08.03.2019.pdf:PDF
Contract,LE03,Appointment Contract of Principal Designer,Aviva Life \& Pensions UK Limited,,2019,\#mar\#,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/CBRE Appointment of Principal Designer - 08.03.2019.pdf:PDF
Audit,CE05,Access Audit of 4 Matthew Parker Street,Tetra Consulting Limited,,2019,\#oct\#,,Clarence House,Environment,General,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/4 Matthew Parker Street DDA July 2019.pdf:PDF
Contract,LE03,4 Matthew Parker Street Building Contract,Aviva Life \& Pensions UK Limited,,2018,\#feb\#,"September 14,2018",4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Building contract dated 15 February 2018.pdf:PDF
Misc,CE14,Emergency Lighting,Syam,,2016,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D15_Emergency Lighting.pdf:PDF
Certificate,NA,Certificate of Sectional Completion,CBRE Limited,,2016,\#jan\#,8/5/2017,4 Matthew Parker Street,Architectural,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/09.05.2016 - Certificate of Sectional Completion.pdf:PDF
Contract,LE03,Intermediate Building Contract With Contractor's Design,Aviva Life \& Pensions UK Limited,,2016,\#mar\#,"May 20,2016",4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/30.03.2016 - Building Contract.pdf:PDF
Certificate,NA,Certificate of Practical Completion,CBRE Limited,,2016,\#jan\#,"September 27,2017",4 Matthew Parker Street,General,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Certificate of PC.pdf:PDF
Certificate,NA,Final Certificate,Butler \& Young Approved Inspectors Limited,,2016,\#jan\#,NA,4 Matthew Parker Street,General,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Final Certificate 06-10-16.pdf:PDF
Brochure,NA,Marketing Advertisement(OxAM House),NA,,2014,,,"OxAM House,Oxford",General,General,Other,Other,N,No clear title the document title has been created,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/1x Oxford Mixed Use asset DD/Project Tiger - Information Memorandum (OxAM House).pdf:PDF
Riskregister,ESG10,Risk Management,Jones Lang LaSalle,,2007,\#feb\#,,Clarence House,Environment,Operation,Environmental,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/PROJEC~1/069DA0~1.DOC/STAGE2~1/3XLOND~1/CLAREN~1/INSPEC~1/4MATTH~2.PDF:PDF
TechReport,,Building Energy Performance Certificate. Asset Rating.,,,1694,,,,,,NA,,NA,,,,,:1694 - Building Energy Performance Certificate. Asset Rating..pdf:PDF;:C\:/Users/Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 8 Mill Lane - Draft SBEM.pdf:PDF
Certificate,,Energy performance certificate (EPC),Elmhurst Energy Systems Ltd,9/6/2023,,,,Mill Lane Industrial Estate,Energy,Operation,NA,,NA,,,,,":C\:/Users/Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Ind Estate EPCs/Unit 5i - Mill Lane Industrial Estate, Glenfield - EPC.pdf:PDF"
